Index,File,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
12,1.13-light-in-august.txt,1.29E-05,3.32E-04,3.32E-04,0.1616013291,1.15E-05,0.1094707922,2.40E-05,4.54E-06,4.82E-05,2.62E-05,0.05248769766,1.05E-05,8.48E-06,2.32E-05,0.1164229988,1.67E-05,2.57E-05,1.98E-05,2.62E-05,1.18E-04,7.35E-06,0.01305263944,5.00E-06,0.2324483278,1.59E-05,0.02460506439,2.20E-05,1.07E-05,2.58E-05,3.84E-05,9.35E-05,4.55E-05,4.16E-05,3.38E-04,2.42E-06,5.94E-05,1.33E-05,1.57E-05,1.28E-05,1.27E-05,7.03E-06,0.09242417017,0.01989700341,8.24E-06,2.01E-05,1.96E-05,1.50E-05,4.34E-04,0.1752833307,2.40E-06
13,1.14-light-in-august.txt,7.46E-06,1.24E-05,1.25E-05,0.1399125385,6.66E-06,0.1126575105,1.38E-05,2.63E-06,2.79E-05,1.52E-05,0.07074451575,6.08E-06,4.90E-06,1.34E-05,0.1353536754,9.63E-06,1.48E-05,1.14E-05,1.52E-05,6.07E-04,4.25E-06,0.01885837113,2.89E-06,0.2094142695,9.20E-06,0.03900487406,1.27E-05,6.16E-06,1.49E-05,2.22E-05,0.003646014089,2.63E-05,2.40E-05,1.56E-05,1.40E-06,3.43E-05,1.87E-04,9.08E-06,7.39E-06,7.36E-06,4.06E-06,0.09149083637,0.02281403833,4.76E-06,1.16E-05,0.001448113029,8.69E-06,0.00240580842,0.1510527458,1.39E-06
14,1.15-light-in-august.txt,1.94E-05,3.24E-05,9.69E-04,1.53E-05,1.74E-05,0.1621907079,3.61E-05,6.85E-06,7.27E-05,3.95E-05,0.03789478641,1.59E-05,1.28E-05,3.50E-05,0.2232550437,0.01501342692,3.87E-05,2.98E-05,3.95E-05,0.02266054744,1.11E-05,0.02482596143,0.1868930319,0.009376147825,2.40E-05,0.01835085676,3.32E-05,1.61E-05,3.89E-05,5.79E-05,0.03386468083,6.86E-05,0.005214924509,4.07E-05,3.65E-06,0.001026304893,2.00E-05,2.37E-05,1.93E-05,1.92E-05,0.02951882766,0.05218775812,0.007507504103,1.24E-05,4.99E-04,0.02298040067,2.27E-05,1.85E-04,0.1447595645,3.61E-06
15,1.16-light-in-august.txt,1.35E-05,2.25E-05,2.26E-05,0.1596336383,1.21E-05,0.05925775833,2.51E-05,4.75E-06,3.76E-04,2.74E-05,0.04970916874,1.10E-05,8.87E-06,2.43E-05,0.1422787012,1.74E-05,2.68E-05,2.07E-05,3.53E-04,0.003049483824,7.69E-06,0.02210774377,0.2461042893,5.87E-06,1.67E-05,0.001683690225,2.30E-05,1.12E-05,2.70E-05,4.02E-05,0.004324124968,4.76E-05,0.00231919879,2.82E-05,2.53E-06,6.21E-05,1.39E-05,1.64E-05,1.34E-05,1.33E-05,7.35E-06,0.1259496347,0.02114062437,8.62E-06,2.10E-05,0.01107383651,1.57E-05,0.003054467865,0.1469641341,2.51E-06
16,1.17-light-in-august.txt,1.82E-05,3.03E-05,0.0022225528,0.2595499165,1.63E-05,0.04352337538,3.38E-05,6.41E-06,9.45E-04,3.70E-05,0.06221194174,1.48E-05,1.20E-05,3.28E-05,0.140135589,0.009668413445,3.62E-05,2.79E-05,3.70E-05,0.001481897291,0.001325579695,0.04164992379,0.01666643244,7.91E-06,2.25E-05,0.03997331939,3.10E-05,1.50E-05,3.64E-05,5.42E-05,5.70E-04,5.03E-04,0.004442727576,0.003106893412,3.41E-06,5.22E-04,1.87E-05,2.22E-05,1.80E-05,1.80E-05,0.0210533418,0.2180716098,0.01316463725,1.16E-05,2.83E-05,2.77E-05,2.12E-05,0.005434261295,0.1131352824,3.38E-06
17,1.18-light-in-august.txt,1.48E-05,2.47E-05,2.49E-05,0.1663215884,1.32E-05,0.1275078734,2.75E-05,5.22E-06,5.54E-05,3.01E-05,0.05457009888,1.21E-05,9.74E-06,0.002881795973,0.1544073232,0.01036889832,0.001813911983,2.27E-05,3.01E-05,0.001563243382,8.44E-06,0.02426960245,5.74E-06,6.44E-06,1.83E-05,0.08357575562,2.53E-05,1.22E-05,2.97E-05,4.42E-05,0.009743406148,5.23E-05,0.004687317026,3.10E-05,2.78E-06,0.008276653052,1.53E-05,1.80E-05,1.47E-05,1.46E-05,0.09422658231,0.09686687809,0.02142346945,9.46E-06,2.31E-05,2.25E-05,1.73E-05,1.41E-04,0.136710081,2.75E-06
18,1.19-light-in-august.txt,1.69E-05,2.82E-05,0.005328027676,0.01876586433,1.51E-05,0.01886536818,8.47E-04,5.96E-06,0.01270086461,3.44E-05,0.05051178368,1.38E-05,1.11E-05,3.05E-05,0.1140029365,2.19E-05,3.37E-05,2.59E-05,3.44E-05,0.02339187562,9.64E-06,0.05911272993,0.008567512856,7.36E-06,0.01347382207,0.03880111625,2.89E-05,1.40E-05,4.42E-04,5.04E-05,0.02091359814,0.001282698621,5.46E-05,3.54E-05,3.17E-06,7.79E-05,1.74E-05,2.06E-05,0.02488430671,1.67E-05,0.2625451973,0.1077949547,0.03344011253,1.08E-05,2.64E-05,0.0126633207,1.97E-05,0.01279884682,0.1581988214,3.14E-06
19,1.20-light-in-august.txt,1.37E-05,0.001339839607,0.2637702987,0.02371836664,0.01351238557,0.002396016024,2.54E-05,4.82E-06,0.002685278895,6.86E-04,0.06318914782,1.12E-05,8.99E-06,2.46E-05,0.06442181767,1.77E-05,6.86E-04,2.10E-05,2.78E-05,0.007039915623,9.96E-04,0.02502582425,5.30E-06,5.94E-06,1.69E-05,0.02541294025,2.33E-05,1.13E-05,2.74E-05,4.07E-05,0.00405038117,3.77E-04,4.41E-05,3.58E-04,2.56E-06,6.29E-05,1.41E-05,1.66E-05,0.04446534765,1.35E-05,0.01153198722,0.1318475776,0.01054610801,8.73E-06,2.13E-05,0.05072875714,1.59E-05,0.01560605181,0.2351208201,2.54E-06
20,1.21-light-in-august.txt,3.54E-05,5.88E-05,5.93E-05,2.78E-05,3.16E-05,0.4406115538,6.57E-05,1.25E-05,1.32E-04,7.19E-05,0.01354795467,2.89E-05,2.32E-05,6.37E-05,0.283347267,4.57E-05,7.03E-05,5.42E-05,0.00433080947,0.01650787994,2.01E-05,0.02300121158,1.37E-05,1.54E-05,4.37E-05,0.001004283793,6.03E-05,2.92E-05,7.08E-05,1.05E-04,0.00110817643,0.008642658381,1.14E-04,7.39E-05,6.63E-06,0.006125362563,3.64E-05,0.01196813672,3.50E-05,0.005997457578,1.93E-05,0.0412443203,0.04431739983,2.26E-05,5.51E-05,5.37E-05,4.12E-05,0.004595866778,0.09204558624,6.57E-06
21,2.01-native-son.txt,2.46E-05,0.02556033396,4.13E-05,1.94E-05,0.001802422086,0.006098938481,0.1822419034,8.68E-06,9.21E-05,0.002423963519,0.08896469806,2.01E-05,1.62E-05,4.44E-05,0.09415379584,3.18E-05,4.90E-05,0.00181817968,5.01E-05,0.04770346647,1.40E-05,0.125224758,9.55E-06,1.07E-05,0.0136802885,1.06E-04,4.20E-05,2.04E-05,4.93E-05,0.002447315319,0.01323503507,8.69E-05,7.94E-05,5.15E-05,4.62E-06,0.1615380556,2.54E-05,3.00E-05,2.44E-05,0.0825170539,1.34E-05,0.02458206765,0.05164904958,1.57E-05,3.84E-05,3.74E-05,2.87E-05,0.007949885619,0.06531836272,4.58E-06
